source,text,rater1,rater2
kubertenes,"Hey, @foxie. Is there a specific issue you had with it? We're considering testing soon.",NL,NL
kubertenes,Does anyone know why I would keep getting NodeUnderDiskPressure as the reason a pod can't be deployed? that particular node doesn't have any disk activity,NL,NL
kubertenes,command: $x,Not,Not
kubertenes,"@liggetm oh yay, happy to chat wherever makes the most sense. Happy to discuss use-case.",NL,NL
kubertenes,neither*,NL,NL
kubertenes,pid /run/nginx.pid;,Not,Not
kubertenes,22h 1s 9 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 15; reason: Current number of replicas above Spec.MaxReplicas,Not,Not
kubertenes,I did what you told me but it seems it didn't work either,NL,NL
kubertenes,"hi guys, I'm trying to increase the size of an EBS volume. Anyone have any tips on how I should go about copying over existing data to a new larger EBS volume and then changing the PVC to use the new larger volume?",NL,NL
kubertenes,"@dastan i believe it, or kubelet may try to enable the module",NL,NL
kubertenes,"I need to use prometheus for that so I guess I have to change the port to 9090, right?",NL,NL
kubertenes,you can try simple docker run imagename bash -c /tmp/setup.sh,NL,NL
kubertenes,"Guys, I'm at my wits end. I've mounted local storage as (/app/session) and I can mkdir a folder (/app/session/bar), but not change its permission and I don't have permission to the folder I just made, so I can't make another sub-folder (/app/session/bar/foo). *mounted as so:* $ minikube mount /sdl/mount:/mount-9p *container spec:* volumeMounts: - mountPath: /app/session name: session-volume *deployment spec* volumes: - name: session-volume hostPath: path: /mount-9p/session *Dockerfile seems correct for every container* RUN [mkdir, -p, /app/session, /app/common] RUN [chown, -R, daemon:daemon, /app/session, /app/common] VOLUME [/app/session, /app/common] *Permissions are correct*sdl git:(master)ls -l /sdl/mount total 0 drwxrwxrwx 10 rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains wheel 374 Oct 26 15:06 session drwxrwxrwx 3 rajbains wheel 102 Oct 24 18:04 user-data",NL,NL
kubertenes,config:256,Not,Not
kubertenes,I have : kube-system kube-controller-manager-gm2-master1 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master2 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master3 1/1 Running 0 1d,NL,NL
kubertenes,"yes, restartPolicy is done at the pod layer, not the deployment or job layer.",NL,NL
kubertenes,"wow that is not bad at all, thanks for sharing. Which technologies do these projects rely on and is it ok to assume you are using a pre build reload experience when changing code to have this?",NL,NL
kubertenes,Anyone know if there's a way to contact the steering committee?,NL,NL
kubertenes,"if u run /bin/sh I don't think the pod will stay alive, should it?",NL,NL
kubertenes,try launching it via docker without kube,NL,NL
kubertenes,"@U7N4JEF9U Either change cgroup driver of docker to systemd, or better change kubelet cgroup driver to cgroupfs",NL,NL
kubertenes,what if node fails on which this bot is running? it sends afterwards?,NL,NL
kubertenes,We need to see what node selector you are using.,NL,NL
kubertenes,@U7N4JEF9U The docker driver. perhaps in docker.service,NL,NL
kubertenes,yupp,NL,NL
kubertenes,"I restarted the master just to eliminate that something in it was wrong, and then I did some serious pod-o-cide and killed many of them so they would get rescheduled",NL,NL
kubertenes,well crap. I tried,NL,NL
kubertenes,kris-mbp:virtualbox-cluster kris$ kubectl --kubeconfig=./config apply -f pv-test.yaml,Not,Not
kubertenes,higher than 30000 actualkly,NL,NL
kubertenes,Oct 26 16:42:19 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.858324 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54062: remote error: tls: bad certificate,Not,Not
kubertenes,I don't think you should have to manually change that. Networking should handle the IP allocation automatically.,NL,NL
kubertenes,ERROR: logging before flag.Parse: W1026 21:48:07.659839 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57988->127.0.0.1:53: read: connection refused,Not,NL
kubertenes,"yeah, can define role cluster-wide with a ClusterRole, grant it locally with a RoleBinding",NL,NL
kubertenes,tolerations:,Not,NL
kubertenes,@walteraa does the firewall need to know about the overlay network used for k8s? or does it encapsulate?,NL,NL
kubertenes,"@high_on_bananas okay, np",NL,NL
kubertenes,"Hmm, then the port would be fixed, that may be the answer",NL,NL
kubertenes,hello is posible upgrade kubernetes cluster in Centos 7 1.5 baremetal to 1.6???,NL,NL
kubertenes,"No, you're totally wrong.",NL,NL
kubertenes,"@U7MJLP5CL, you can see full list of supported annotations here: https://github.com/kubernetes/kubernetes/blob/v1.8.0/pkg/cloudprovider/providers/aws/aws.go#L83",NL,NL
kubertenes,does anyone here has implemeted kubernetes federation already ?,NL,NL
kubertenes,either i am blind or i dont understand the concept of k8s I wrote a deployment.yaml that should consist two different containers that are not on the same pod. but both are started in the same pod. what am i getting wrong here?,NL,NL
kubertenes,fixed it,NL,NL
kubertenes,hello. am i able to use kubectl to get/edit ExternalAdmissionHookConfigurations?,NL,NL
kubertenes,Oct 26 20:19:43 test2-minion-8IcjE kubelet-wrapper[5596]: Error: failed to run Kubelet: could not init cloud provider aws: error finding instance i-0d01f6f07e33605e3: error listing AWS instances: \RequestError: send request failed\\ncaused by: Post https://ec2.us-east-1.amazonaws.com/: dial tcp: lookup ec2.us-east-1.amazonaws.com on [::1]:53: read udp [::1]:36716->[::1]:53: read: connection refused\,Not,Not
kubertenes,http:,Not,Not
kubertenes,"but svc will expose internal clusterIP, not ?",NL,NL
kubertenes,"When i google it, the only solution people seem to provide is increasing ELB timeout. Even after increasing it, i see the above error. Any suggestions of how to connect to etcd with flannel? I am able to curl from the worker node without issues",NL,NL
kubertenes,kind: Config,Not,Not
kubertenes,Do anyone know is there a way to access cluster with token ( and a way to generate it ) instead of whole kubeconfig ?,NL,NL
kubertenes,gimme a sec,NL,NL
kubertenes,kind: PersistentVolumeClaim,Not,Not
kubertenes,You must install a pod network add-on so that your pods can communicate with each other. could that be a cause?,NL,NL
kubertenes,i/o timeout,Not,NL
kubertenes,"Ahhh, good question. Let me see what I can find.",NL,NL
kubertenes,Self signed in my case,NL,NL
kubertenes,Oct 26 17:37:29 test178-minion-MTvrc kubelet-wrapper[1194]: I1026 17:37:29.243788 1194 tags.go:76] AWS cloud filtering on ClusterID: test178,Not,Not
kubertenes,Deployment looks at the Pod api object,NL,NL
kubertenes,"@U7Q1KJCG0 Does your manifest have the kind: PersistentVolume line uncommented, and without any dashes in front of it?",NL,NL
kubertenes,They don't have the same ip,NL,NL
kubertenes,@U7LULHTJL you should take a look at GitlabCI as well. My experience has been very good so far.,NL,NL
kubertenes,let me restart all deamon and,NL,NL
kubertenes,kubernetes cluster,NL,NL
kubertenes,"gotchya, okay thanks for clarifying, that makes sense now.",NL,NL
kubertenes,does not list them,NL,NL
kubertenes,"Guys, is there any reference about cron jobs schedule time? In the official documentation uses schedule: */1 * * * * and tells that it schedule the job each 1 min",NL,NL
kubertenes,I decided to write this post after struggling to find documentation on how to write a Kubernetes operator that went through the code with...,NL,NL
kubertenes,but some of the docks on ingress only we can assign hostname for redirection backend paths,NL,NL
kubertenes,after 1.12.6 Docker also changed how nat rules are generated so you would guaranteed have trouble,NL,NL
kubertenes,name: wiki-config,Not,Not
kubertenes,yep!!,NL,NL
kubertenes,"a python flask app, nothing interesting",NL,NL
kubertenes,"i *do* build the containers, but it doesn't really matter",NL,NL
kubertenes,root 1 0.0 0.6 200856 6480 ? Ssl 16:55 0:00 ./price-project,Not,Not
kubertenes,Error from server (AlreadyExists): error when creating cockroachdb1.yaml: statefulsets.apps cockroachdb already exists bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl get statefulset No resources found. bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl de,Not,Not
kubertenes,user root,Not,NL
kubertenes,@3molo,NL,NL
kubertenes,volumeMounts:,Not,Not
kubertenes,looks like to Google counterpart of AWS EBS,NL,NL
kubertenes,"if you just want to explore the filesystem you can also ssh to the node and dig up the actual mount... it's cumbersome, but possible.",NL,NL
kubertenes,PATH may not work unless you have a working shell!,NL,NL
kubertenes,Hey @bo0m3r31337! That's right. So Installed kubectl inside the container and i found the secret token at /var/run/secrets/kubernetes.io/serviceaccount/token. But i'm not really sure where to go from there.,NL,NL
kubertenes,"unfortunately that doesn't seem to be the issue. Tried it with one, two and four extra spaces and got the same result",NL,NL
kubertenes,bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl delete statefulset cockroachdb error: timed out waiting for cockroachdb to be synced,Not,NL
kubertenes,secrets,NL,NL
kubertenes,@mettjus yes I wanted to happen this automatically. I don't want to delete nor drain.,NL,NL
kubertenes,"hmm, shouldnt I delete this pod first? and try all over again?",NL,NL
kubertenes,kibana must also have xpack if your ES cluster has that,NL,NL
kubertenes,well kpod ps said exactly no output for one,NL,NL
kubertenes,"well, i have a google app that i need to deploy and my environment is mixed with gce and gke structure, i have two php nodes that i use on the gce that needs to comunicate with couple of apps that i want to store on gke... in another words, i have php app on gce that want to acces reddis nodejs and elasticsearch on gke cluster. i need to expose local ip from the service that i use for the apps in kubernetes i can comunicate with the pods in kubernetes but that wil not solve my problem because what if i need to add another pod, so it means i want to comunicate with the service(loadBalancer) that comunicates with the pods of the exact app... some help please or some solution about that,",NL,NL
kubertenes,command: [bash],Not,Not
kubertenes,Type: GCEPersistentDisk,Not,Not
kubertenes,Your service doesn't have to be any different,NL,NL
kubertenes,thanks!,NL,NL
kubertenes,i was also wondering what that is,NL,NL
kubertenes,rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains whe,Not,Not
kubertenes,"Absolutely, that's entirely what we will be using Roles and RoleBindings for, however, we still need some sort of cluster-admin type role that's limited to create/update/delete at the namespace level and setup those per-namespace Bindings. That's what I'm mainly interested in limiting, everything else makes sense.",NL,NL
kubertenes,thanks a lot for help!,NL,NL
kubertenes,22h 4m 2 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 16; reason: cpu resource utilization (percentage of request) above target,Not,NL
kubertenes,"That is a big question.. look at the loadbalancer in services, but you need an ELB for that..",NL,NL
kubertenes,anyone seen this before? (kubelets have --max-pods=X and --pod-cidr=),NL,NL
kubertenes,@stephenenelson ok thankyou,NL,NL
kubertenes,app: pricelabel-app,Not,Not
kubertenes,"Yeah, so maybe DNS isn't exactly the issue, but your pod and the kubernetes service shouldn't have the same IP so there's something weird with your networking.",NL,NL
kubertenes,How to satisfy Ingress Certificate and Key requirements? Do I need to chain? I am getting error: failed to load key pair tls: private key does not match public key when doing:,NL,NL
kubertenes,"I still have kube-proxy stuck in Init, anyone an idea how to fix that?",NL,NL
kubertenes,"this init my script in PID 1, but it doesn't work.",NL,NL
kubertenes,"that's a fine entrypoint if you're using kubectl run -it and want an interactive pod for a short bit, but it won't stay running (as you saw) and will immediately exit. You might be better doing the old classic sleep/wait thing to hold it there (what @mettjus suggests)",NL,NL
kubertenes,- -c,Not,Not
kubertenes,http://bfy.tw/Ehui,Not,Not
kubertenes,yeah,NL,NL
kubertenes,aww.,NL,NL
kubertenes,"from my understanding defaul ttl for events is 1h (should be configurable on apiserver). that could be the reason for Events: <none>. maybe u could delete the statefulset and recreate it, then describe. not sure at all if that will help",NL,NL
kubertenes,"@U7L73A2RE I set up a bare metal machine with Ubuntu 17, and put docker on it. Now I am going through the Udacity tutorial on Kubernetes. It's pretty good",NL,NL
kubertenes,"7s 5s 2 kubelet, spec.containers{ares} Normal Created Created container 6s 4s 2 kubelet, spec.containers{ares} Normal Started Started container 2s 1s 2 kubelet, spec.containers{ares} Warning BackOff Back-off restarting failed container 2s 1s 2 kubelet, Warning FailedSync Error syncing pod",Not,NL
kubertenes,kind: Deployment,Not,NL
kubertenes,current-context: default,Not,Not
kubertenes,"Hi, I am trying to run a command inside a pod by kubectl run podname --image=imagename --port=80 --image-pull-policy=IfNotPresent --command -- bash -c /tmp/setup.sh but my pod goes continously in crashloopbaack state. However if I start a pod by kubectl run podname --image=imagename --port=80 --image-pull-policy=IfNotPresent --command and then do kubectl exec -ti podname-597fdb98d9-z5xvx -- bash -c /tmp/setup.sh the specified command works. Does anyone know how to fix this issue?",NL,NL
kubertenes,and ? just check yaml syntax ?,NL,NL
kubertenes,@lukas.dolezal but then it will cause more issues in my case ...,NL,NL
kubertenes,I removed the volume part and added the volumeClaimTemplates,NL,NL
kubertenes,remember to use the NODEIPADDDRESS,NL,NL
kubertenes,Is it possible to specify multiple secrets in an file and use the kubectl create secret --from-file option?,NL,NL
kubertenes,This is in the namespace prometheus in cluster-1,NL,NL
kubertenes,"Actually it is the template stuff that is really cool. You write generic chart and then one or more config.yaml more specialized to your env (prod, staging,...). We actually written once when we were on marathon but here helm is cooler, with a linter, handle rolling updates, and stuff I don't know about yet",NL,NL
kubertenes,tolerations????,NL,NL
kubertenes,I don't want that. I want a new container/pod provisioned.,NL,NL
kubertenes,@U7LULHTJL lots of stuff could be done with GCE cloudbuild,NL,NL
kubertenes,do you have dns addon?,NL,NL
kubertenes,"nice, thanks!",NL,NL
kubertenes,SIGTERM,Not,Not
kubertenes,what does the volume in the pod look like?,NL,NL
kubertenes,https://github.com/roffe/kube-login is a extended example-app based on the one DEX has made to let one template the token page,NL,NL
kubertenes,ingress has to be placed in the namespace where it's service is afaik,NL,NL
kubertenes,awesome @smerrill,NL,NL
kubertenes,replicas: 1,Not,NL
kubertenes,that authority certificate should be referred into kube config file,NL,NL
kubertenes,documetation wasn't clear enough to me tbh and in many blogs i saw Certs and TLS being used at the same time,NL,NL
kubertenes,"so, until reaper deletes the pod api object, deployment will not restart",NL,NL
kubertenes,^,Not,Not
kubertenes,Strange.,NL,NL
kubertenes,"The above error should come, when the api server is presenting a certificate which is NOT signed by the entity specified in certificate-authority",NL,NL
kubertenes,running.,NL,NL
kubertenes,"kdockery, https://bpaste.net/show/548efe3325bb this is what I get now",NL,NL
kubertenes,"nope it cant, but I would helm install honestbee / drone or any DEIS product with it",NL,NL
kubertenes,the simplest thing ever,NL,NL
kubertenes,do you controller examples,NL,NL
kubertenes,Are they on the same L2 network?,NL,NL
kubertenes,"this is in dev in minikube, so no SSL",NL,NL
